customer_id,customer_code,customer_name,customer_level,customer_type,industry_type,industry,city,province,address,contact_person,contact_phone,contact_email,status
10031,CUST-10031,Sample Business Label 76e7ccfd,T3,Enterprise,Sample Business Label 6f9019a1,Sample Business Label 8015b572,Sample Business Label 7bbe0dc5,Sample Business Label 234a7010,Sample Business Label cc1c90f9,Sample Business Label b1f5d1a8,10262486040,contact_d48d2d68@example.com,Active
10034,CUST-10034,Sample Business Label 24b4bfb0,T1,Enterprise,Sample Business Label 6f9019a1,Sample Business Label 34cd8b7f,Sample Business Label 02eea236,Sample Business Label f4aa2fb9,Sample Business Label 11a3a7b2,Sample Business Label 3130712f,17522119610,contact_162b0a75@example.com,Active
10037,CUST-10037,Sample Business Label 8cd69822,T2,Enterprise,Sample Business Label 67a4fdc0,Sample Business Label 3bb13a5a,Sample Business Label 55a9efaf,Sample Business Label 066c5321,Sample Business Label f90ce69c,Sample Business Label e177fb4d,17654161232,contact_05fa0bb7@example.com,Active
10040,CUST-10040,Sample Business Label 2e030d14,T2,Enterprise,Sample Business Label 67a4fdc0,Sample Business Label be646139,Sample Business Label 18713fcb,Sample Business Label 8a591c99,Sample Business Label 5875f372,Sample Business Label 23611b05,13555570637,contact_d435df83@example.com,Active
10043,CUST-10043,Sample Business Label fb705a91,T1,Enterprise,Sample Business Label 67a4fdc0,Sample Business Label 6be72a56,Sample Business Label 06dcd262,Sample Business Label 99c454c7,Sample Business Label 76407de0,Sample Business Label 85cac62a,19252913440,contact_8ab753d3@example.com,Active
10046,CUST-10046,Sample Business Label cbaba12e,T2,Enterprise,Sample Business Label 67a4fdc0,Sample Business Label 77b03a09,Sample Business Label a53898ea,Sample Business Label 234a7010,Sample Business Label b15ab4fd,Sample Business Label cda58d0a,18405524921,contact_6ccfffc6@example.com,Active
10049,CUST-10049,Sample Business Label c023b592,T3,Enterprise,Sample Business Label 67a4fdc0,Sample Business Label 6be72a56,Sample Business Label 051bbe9e,Sample Business Label e257ca12,Sample Business Label 4becb38a,Sample Business Label 62bd0bc2,13464261501,contact_24cb7021@example.com,Active
10052,CUST-10052,Sample Business Label 02a62d16,T2,Enterprise,Sample Business Label 67a4fdc0,Sample Business Label a6f2e4cf,Sample Business Label 2373e562,Sample Business Label f1483dfe,Sample Business Label d9897dcd,Sample Business Label 06bf74e5,15323877220,contact_7bc483f3@example.com,Active
10055,CUST-10055,Sample Business Label d6ad6dcb,T1,Enterprise,Sample Business Label 67a4fdc0,Sample Business Label be646139,Sample Business Label 02e4d1cd,Sample Business Label 066c5321,Sample Business Label 25159213,Sample Business Label 82bb1591,19843340225,contact_1d7ddae3@example.com,Active
10058,CUST-10058,Sample Business Label 8d9a7569,T1,Enterprise,Sample Business Label 67a4fdc0,Sample Business Label be646139,Sample Business Label 02eea236,Sample Business Label f4aa2fb9,Sample Business Label 11a3a7b2,Sample Business Label 643b843d,15763936232,contact_305521ca@example.com,Active
10061,CUST-10061,Sample Business Label 5fec3637,T2,Enterprise,Sample Business Label 67a4fdc0,Sample Business Label 77b03a09,Sample Business Label 7e066bac,Sample Business Label f1483dfe,Sample Business Label a0b15555,Sample Business Label 70888282,16115464163,contact_f5582eba@example.com,Active
10064,CUST-10064,Sample Business Label 8de24d68,T3,Enterprise,Sample Business Label 67a4fdc0,Sample Business Label 6be72a56,Sample Business Label 7bbe0dc5,Sample Business Label 234a7010,Sample Business Label cc1c90f9,Sample Business Label 038fd2b8,18132495501,contact_8a70f5dc@example.com,Active
10067,CUST-10067,Sample Business Label b2d7cf3d,T2,Enterprise,Sample Business Label 1c323176,Sample Business Label f9875bad,Sample Business Label 02e4d1cd,Sample Business Label 066c5321,Sample Business Label 25159213,Sample Business Label 020d53f1,13993304006,contact_b335173a@example.com,Active
10070,CUST-10070,Sample Business Label f6e8209f,T3,Enterprise,Sample Business Label 1c323176,Sample Business Label 8ebed9f4,Sample Business Label 2373e562,Sample Business Label f1483dfe,Sample Business Label d9897dcd,Sample Business Label a14009c7,14102411712,contact_5a4026a3@example.com,Active
10073,CUST-10073,Sample Business Label 1ff215b5,T3,Enterprise,Sample Business Label 1c323176,Sample Business Label 8ebed9f4,Sample Business Label 051bbe9e,Sample Business Label e257ca12,Sample Business Label 4becb38a,Sample Business Label 304f4dc5,17783602039,contact_3c03a20b@example.com,Active
10076,CUST-10076,Sample Business Label 28597042,T2,Enterprise,Sample Business Label 1c323176,Sample Business Label 2f2d061c,Sample Business Label d9c54797,Sample Business Label d9c54797,Sample Business Label e2dc15e1,Sample Business Label 228ce12f,11044047043,contact_2965985f@example.com,Active
10079,CUST-10079,Sample Business Label 2e7d0ed1,T3,Enterprise,Sample Business Label 1c323176,Sample Business Label 8ebed9f4,Sample Business Label e6348d38,Sample Business Label e6348d38,Sample Business Label 1b6829b0,Sample Business Label b1f5d1a8,18971415259,contact_cf3987fa@example.com,Active
10082,CUST-10082,Sample Business Label 7195797b,T3,Enterprise,Sample Business Label 1c323176,Sample Business Label ffecebfb,Sample Business Label 2373e562,Sample Business Label f1483dfe,Sample Business Label d9897dcd,Sample Business Label f741c1ae,10483511053,contact_d92d5ddd@example.com,Active
10085,CUST-10085,Sample Business Label c5e50421,T3,Enterprise,Sample Business Label 1c323176,Sample Business Label 8ebed9f4,Sample Business Label e6348d38,Sample Business Label e6348d38,Sample Business Label 1b6829b0,Sample Business Label 26ae6f92,13201899695,contact_cf4170cc@example.com,Active
10088,CUST-10088,Sample Business Label 4c53a90c,T2,Enterprise,Sample Business Label 1c323176,Sample Business Label ffecebfb,Sample Business Label 06dcd262,Sample Business Label 99c454c7,Sample Business Label 76407de0,Sample Business Label d46abcf8,12342456014,contact_99dab844@example.com,Active
10091,CUST-10091,Sample Business Label dfdc27d1,T3,Enterprise,Sample Business Label f840d5c6,Sample Business Label c970a784,Sample Business Label 051bbe9e,Sample Business Label e257ca12,Sample Business Label 4becb38a,Sample Business Label 2622b5e1,17547427914,contact_0dcbe020@example.com,Active
10094,CUST-10094,Sample Business Label ec8f70d3,T2,Enterprise,Sample Business Label f840d5c6,Sample Business Label 0bb7d78d,Sample Business Label 2373e562,Sample Business Label f1483dfe,Sample Business Label d9897dcd,Sample Business Label fa24b406,10228360932,contact_e3f96375@example.com,Active
10097,CUST-10097,Sample Business Label 85726bbf,T1,Enterprise,Sample Business Label f840d5c6,Sample Business Label 13564a46,Sample Business Label fed52362,Sample Business Label e1f6b2f9,Sample Business Label 91ca7ead,Sample Business Label 312c160c,11955245446,contact_8c2d13c8@example.com,Active
10100,CUST-10100,Sample Business Label dc299d1e,T2,Enterprise,Sample Business Label f840d5c6,Sample Business Label 5cc6f768,Sample Business Label e6348d38,Sample Business Label e6348d38,Sample Business Label 1b6829b0,Sample Business Label 23881f66,11456321955,contact_a6c5d79d@example.com,Active
10103,CUST-10103,Sample Business Label 87fd5450,T2,Enterprise,Sample Business Label f840d5c6,Sample Business Label 0bb7d78d,Sample Business Label 19e67fdb,Sample Business Label 234a7010,Sample Business Label 2b8de0ac,Sample Business Label 19923e0d,13522244962,contact_4479e4ef@example.com,Active
10106,CUST-10106,Sample Business Label 4f25f3ee,T2,Enterprise,Sample Business Label f840d5c6,Sample Business Label 0bb7d78d,Sample Business Label d44f2173,Sample Business Label aab01ad3,Sample Business Label 11d845ea,Sample Business Label 542da444,12084352015,contact_89c5c7c7@example.com,Active
10109,CUST-10109,Sample Business Label c6885caf,T3,Enterprise,Sample Business Label f840d5c6,Sample Business Label c970a784,Sample Business Label e6348d38,Sample Business Label e6348d38,Sample Business Label 1b6829b0,Sample Business Label a072c892,18043114211,contact_9736e322@example.com,Active
10112,CUST-10112,Sample Business Label 3013bff3,T1,Enterprise,Sample Business Label f840d5c6,Sample Business Label 0bb7d78d,Sample Business Label d44f2173,Sample Business Label aab01ad3,Sample Business Label 11d845ea,Sample Business Label 4e33d3eb,13106030390,contact_1e26a1a0@example.com,Active
10115,CUST-10115,Sample Business Label 54604af8,T3,Enterprise,Sample Business Label f840d5c6,Sample Business Label c970a784,Sample Business Label 18713fcb,Sample Business Label 8a591c99,Sample Business Label 5875f372,Sample Business Label bcb8e9db,12133032823,contact_4f322a05@example.com,Active
10118,CUST-10118,Sample Business Label 5cf43b91,T3,Enterprise,Sample Business Label f840d5c6,Sample Business Label a8bb9e73,Sample Business Label 5ce2ab16,Sample Business Label 3768b32c,Sample Business Label 5847c48e,Sample Business Label b893cd22,17522123344,contact_eea8f053@example.com,Active
10121,CUST-10121,Sample Business Label baf4d703,T2,Enterprise,Sample Business Label 96b7b6bd,Sample Business Label b2d7942f,Sample Business Label 63661b81,Sample Business Label f4aa2fb9,Sample Business Label dd801f87,Sample Business Label 4bc62abb,15288516317,contact_68821d31@example.com,Active
10124,CUST-10124,Sample Business Label d8d646d4,T2,Enterprise,Sample Business Label 96b7b6bd,Sample Business Label 59839b1a,Sample Business Label d9c54797,Sample Business Label d9c54797,Sample Business Label e2dc15e1,Sample Business Label 0464e6d4,14213125540,contact_ac8529ee@example.com,Active
10127,CUST-10127,Sample Business Label 89641285,T2,Enterprise,Sample Business Label 96b7b6bd,Sample Business Label 87b81066,Sample Business Label 17ae9692,Sample Business Label 9de07271,Sample Business Label ae8fbd8a,Sample Business Label f7d0a6b2,10431757514,contact_f397bfab@example.com,Active
10130,CUST-10130,Sample Business Label d10e43e2,T2,Enterprise,Sample Business Label 96b7b6bd,Sample Business Label b2d7942f,Sample Business Label 3ea65aee,Sample Business Label 3768b32c,Sample Business Label 0d9eca9f,Sample Business Label 6ec93261,11391727473,contact_4f774cd6@example.com,Active
10133,CUST-10133,Sample Business Label b6718395,T2,Enterprise,Sample Business Label 96b7b6bd,Sample Business Label 60922dbb,Sample Business Label 63661b81,Sample Business Label f4aa2fb9,Sample Business Label dd801f87,Sample Business Label ffeaf4cb,15451759124,contact_e324590f@example.com,Active
10136,CUST-10136,Sample Business Label 9dbff699,T2,Enterprise,Sample Business Label 96b7b6bd,Sample Business Label 971a0d18,Sample Business Label b2f479d6,Sample Business Label 99c454c7,Sample Business Label e430fd78,Sample Business Label e8db3ed9,13019184532,contact_19276682@example.com,Active
10139,CUST-10139,Sample Business Label 0763e5ee,T2,Enterprise,Sample Business Label 96b7b6bd,Sample Business Label 87b81066,Sample Business Label ee633e2e,Sample Business Label fa89ccde,Sample Business Label ddd40408,Sample Business Label b1f52e95,10632702765,contact_e68890e6@example.com,Active
10142,CUST-10142,Sample Business Label c0431b9f,T3,SMB,Sample Business Label c81cfde5,Sample Business Label 0978a202,Sample Business Label 02e4d1cd,Sample Business Label 066c5321,Sample Business Label 25159213,Sample Business Label 3357cf56,14449726333,contact_ec4e394f@example.com,Active
10145,CUST-10145,Sample Business Label f2a5c558,T3,SMB,Sample Business Label c81cfde5,Sample Business Label 1a10676f,Sample Business Label 06dcd262,Sample Business Label 99c454c7,Sample Business Label 76407de0,Sample Business Label e03d6d3e,18698174783,contact_4462266a@example.com,Active
10148,CUST-10148,Sample Business Label 1ed85681,T2,Enterprise,Sample Business Label c81cfde5,Sample Business Label d820fb40,Sample Business Label 4ebf6d6f,Sample Business Label fa89ccde,Sample Business Label 32250b41,Sample Business Label 4b40a4de,11443401980,contact_ade921fa@example.com,Active
10151,CUST-10151,Sample Business Label 543a7134,T3,SMB,Sample Business Label c81cfde5,Sample Business Label 8c3a2411,Sample Business Label e6348d38,Sample Business Label e6348d38,Sample Business Label 1b6829b0,Sample Business Label 95acd87f,12393410541,contact_5308ac96@example.com,Active
10154,CUST-10154,Sample Business Label 74169e2b,T3,Enterprise,Sample Business Label c81cfde5,Sample Business Label d820fb40,Sample Business Label 02eea236,Sample Business Label f4aa2fb9,Sample Business Label 11a3a7b2,Sample Business Label 490b9c0c,13231041660,contact_a4cb1f1e@example.com,Active
10157,CUST-10157,Sample Business Label f5bb9b11,T3,SMB,Sample Business Label b34acadd,Sample Business Label a1a9ba78,Sample Business Label 02eea236,Sample Business Label f4aa2fb9,Sample Business Label 11a3a7b2,Sample Business Label becf4cf3,14240183902,contact_3603a3d5@example.com,Active
10160,CUST-10160,Sample Business Label 2635cac5,T1,Enterprise,Sample Business Label b34acadd,Sample Business Label a1a9ba78,Sample Business Label a53898ea,Sample Business Label 234a7010,Sample Business Label b15ab4fd,Sample Business Label 8b5d5204,19324210001,contact_0da29898@example.com,Active
10163,CUST-10163,Sample Business Label 0a0bea3e,T1,SMB,Sample Business Label b34acadd,Sample Business Label dc708389,Sample Business Label d44f2173,Sample Business Label aab01ad3,Sample Business Label 11d845ea,Sample Business Label acf4ed2a,10479394365,contact_455c36c6@example.com,Active
10166,CUST-10166,Sample Business Label eed58a9c,T1,Enterprise,Sample Business Label b34acadd,Sample Business Label 9df2a914,Sample Business Label 02e4d1cd,Sample Business Label 066c5321,Sample Business Label 25159213,Sample Business Label c33e87c4,11833077215,contact_3f287ed8@example.com,Active
10169,CUST-10169,Sample Business Label 4c7d5b1e,T1,Government,Sample Business Label 783fca55,Sample Business Label 0d82b555,Sample Business Label 7e066bac,Sample Business Label f1483dfe,Sample Business Label a0b15555,Sample Business Label 05620760,14911208308,contact_f9dfce4b@example.com,Active
10172,CUST-10172,Sample Business Label 3893f893,T3,Government,Sample Business Label 783fca55,Sample Business Label 0d82b555,Sample Business Label 2373e562,Sample Business Label f1483dfe,Sample Business Label d9897dcd,Sample Business Label 873d05f9,13512248315,contact_da742704@example.com,Active
10175,CUST-10175,Sample Business Label 0f0e591f,T3,SMB,Sample Business Label 783fca55,Sample Business Label 2af2f261,Sample Business Label 19e67fdb,Sample Business Label 234a7010,Sample Business Label 2b8de0ac,Sample Business Label 57b593fb,13239702231,contact_6aa7b0af@example.com,Active
10178,CUST-10178,Sample Business Label 9ae2fe59,T1,Government,Sample Business Label 783fca55,Sample Business Label 2af2f261,Sample Business Label 17ae9692,Sample Business Label 9de07271,Sample Business Label ae8fbd8a,Sample Business Label 7da160a1,15426403615,contact_9af7ed01@example.com,Active
